Na    1.0410   1.0711
Mg    1.2536   1.3022
Al    1.4865   1.5576
Si    1.7397   1.8360
P     2.0132   2.1391
S     2.3073   2.4641
Cl    2.6216   2.8156
Ar    2.9566   3.1905
K     3.3126   3.5896
Ca    3.6899   4.0128
Sc    4.0883   4.4604
Ti    4.5079   4.9318
V     4.9484   5.4273
Cr    5.6512   5.9468
Mn    6.1449   6.4906
Fe    6.6598   7.0582
Co    7.1957   7.6494
Ni    7.7530   8.2648
Cu    8.3318   8.9054
Zn    8.9319   9.5720
Ga    9.5535  10.2642
Ge   10.1970  10.9822
As   10.8624  11.7257
Se   11.5501  12.4960
Br   12.2599  13.2916
Kr   12.9919  14.1128
Rb   13.7468  14.9614
Sr   14.5241  15.8359
Y    15.3246  16.7381
Zr   16.1481  17.6666
Nb   16.9947  18.6227
Mo   17.8651  19.6083
Tc   18.7588  20.6190
Ru   19.6764  21.6567
Rh   20.6181  22.7236
Pd   21.5837  23.8187
Ag   22.5735  24.9424
Cd   23.5880  26.0954
In   24.6269  27.2755
Sn   25.6911  28.4863
Sb   26.7804  29.7255
