Zn    1.0118   1.0347
Ga    1.0980   1.1248
Ge    1.1880   1.2185
As    1.2820   1.3170
Se    1.3791   1.4192
Br    1.4805   1.5259
Kr    1.5854   1.6369
Rb    1.6934   1.7522
Sr    1.8057   1.8717
Y     1.9215   1.9958
Zr    2.0413   2.1244
Nb    2.1645   2.2574
Mo    2.2915   2.3948
Ru    2.5565   2.6833
Rh    2.6944   2.8344
Pd    2.8360   2.9903
Ag    2.9813   3.1510
Cd    3.1304   3.3166
In    3.2832   3.4872
Sn    3.4407   3.6628
Sb    3.6001   3.8436
Te    3.7641   4.0296
I     3.9319   4.2208
Xe    4.1037   4.4177
Cs    4.2794   4.6198
Ba    4.4586   4.8276
La    4.6426   5.0422
Ce    4.8316   5.2629
Pr    5.0237   5.4889
Nd    5.2190   5.7214
Pm    5.4203   5.9615
Sm    5.6225   6.2041
Eu    5.8315   6.4557
Gd    6.0412   6.7134
Tb    6.2555   6.9778
Dy    6.4765   7.2478
Ho    6.6991   7.5257
Er    6.9262   7.8102
Tm    7.1569   8.1023
Yb    7.3916   8.4019
Lu    7.6302   8.7091
Hf    7.8719   9.0228
Ta    8.1170   9.3432
W     8.3668   9.6726
Re    8.6194  10.0100
Os    8.8765  10.3554
Ir    9.1374  10.7084
Pt    9.4022  11.0708
Au    9.6707  11.4425
Hg    9.9433  11.8227
Tl   10.2208  12.2134
Pb   10.5006  12.6138
Bi   10.7850  13.0236
Po   11.0734  13.4471
At   11.3659  13.8762
Rn   11.6626  14.3158
Fr   11.9632  14.7704
Ra   12.2681  15.2359
Ac   12.5766  15.7133
Th   12.8887  16.2016
Pa   13.2066  16.7020
U    13.5269  17.2202
Np   13.8521  17.7504
Pu   14.1816  18.2940
Am   14.5147  18.8522
Cf   15.5440  20.6560
Fm   16.2530  21.8980
